pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
50,c,0,0,0,0,15,2,62,2,,,,,355.4669465000002,356.4658110000005,356.4658110000005,356.4658110000005,356.4658110000005,356.4824566000002,357.4652659999997,357.4652659999997,c,1,0.47737069999993764,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,15,3,63,3,,,,,357.9645182999998,358.9654372,358.9654372,358.9654372,358.9654372,358.9654372,359.96493280000004,359.96493280000004,z,1,0.45611500000040905,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,16,0,64,0,,,,,360.4478092000004,361.4485447000002,361.4485447000002,361.4485447000002,361.4485447000002,361.4485447000002,362.44702929999994,362.44702929999994,x,1,0.46881600000006074,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,16,1,65,1,,,,,362.947181,363.94588500000054,363.94588500000054,363.94588500000054,363.94588500000054,363.96397990000014,364.94714479999993,364.94714479999993,v,1,0.5215955000007853,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,16,2,66,2,,,,,365.4964352000002,366.4969732000004,366.4969732000004,366.4969732000004,366.4969732000004,366.4969732000004,367.49629630000027,367.49629630000027,c,1,0.35556010000027527,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,16,3,67,3,,,,,367.8783941000006,368.8791649,368.8791649,368.8791649,368.8791649,368.8791649,369.87893829999985,369.87893829999985,z,1,0.6727461999994375,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,17,0,68,0,,,,,370.57728309999993,371.57898539999997,371.57898539999997,371.57898539999997,371.57898539999997,371.57898539999997,372.56123720000005,372.56123720000005,x,1,0.32555790000014895,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,17,1,69,1,,,,,372.9102853999998,373.8945481000005,373.8945481000005,373.8945481000005,373.8945481000005,373.91060179999977,374.9106504000006,374.9106504000006,c,0,0.47397849999970276,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,17,2,70,2,,,,,375.41046460000007,376.41032920000043,376.41032920000043,376.41032920000043,376.41032920000043,376.41032920000043,377.4088686,377.4088686,v,0,0.7052785000000767,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,17,3,71,3,,,,,378.14192670000057,379.12629979999974,379.12629979999974,379.12629979999974,379.12629979999974,379.1431297000004,380.1255487000003,380.1255487000003,z,1,1.871065400000134,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,18,0,72,0,,,,,382.0243897000005,383.02389880000055,383.02389880000055,383.02389880000055,383.02389880000055,383.02389880000055,384.0239840999998,384.0239840999998,x,1,0.3914842999997745,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,18,1,73,1,,,,,384.44100279999975,385.4410923999999,385.4410923999999,385.4410923999999,385.4410923999999,385.4410923999999,386.4403231000001,386.4403231000001,v,1,0.3959554999996726,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,18,2,74,2,,,,,386.8562826000002,387.85603519999995,387.85603519999995,387.85603519999995,387.85603519999995,387.85603519999995,388.85622120000016,388.85622120000016,c,1,0.5842665000004672,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,18,3,75,3,,,,,389.47219150000046,390.47269970000025,390.47269970000025,390.47269970000025,390.47269970000025,390.47269970000025,391.47174570000016,391.47174570000016,z,1,0.5582553999997799,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,19,0,76,0,,,,,392.0546667000003,393.0537608999998,393.0537608999998,393.0537608999998,393.0537608999998,393.0537608999998,394.0543647999998,394.0543647999998,x,1,0.5615776999998161,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,19,1,77,1,,,,,394.6374861999998,395.63707699999986,395.63707699999986,395.63707699999986,395.63707699999986,395.63707699999986,396.6371500999999,396.6371500999999,v,1,0.4644522000003235,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,19,2,78,2,,,,,397.12002859999984,398.11884750000036,398.11884750000036,398.11884750000036,398.11884750000036,398.11884750000036,399.1199066000004,399.1199066000004,c,1,0.46203880000075515,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,19,3,79,3,,,,,399.60205390000056,400.6017622000004,400.6017622000004,400.6017622000004,400.6017622000004,400.6017622000004,401.6018436999998,401.6018436999998,z,1,0.6201726999993298,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,20,0,80,0,,,,,402.2517714999999,403.2512861,403.2512861,403.2512861,403.2512861,403.2512861,404.2512556000006,404.2512556000006,x,1,0.4165643999999702,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,20,1,81,1,,,,,404.7005955999998,405.7003129999998,405.7003129999998,405.7003129999998,405.7003129999998,405.7003129999998,406.70064690000027,406.70064690000027,v,1,0.3861329000005753,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,20,2,82,2,,,,,407.11712860000034,408.1158111999998,408.1158111999998,408.1158111999998,408.1158111999998,408.1331388000003,409.11664580000024,409.11664580000024,c,1,0.4571995999999672,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,20,3,83,3,,,,,409.5992587000005,410.59943599999997,410.59943599999997,410.59943599999997,410.59943599999997,410.59943599999997,411.5993469,411.5993469,z,1,0.4390691000003244,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,21,0,84,0,,,,,412.0650490000003,413.06441719999975,413.06441719999975,413.06441719999975,413.06441719999975,413.06441719999975,414.06511830000045,414.06511830000045,x,1,0.657604800000172,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,21,1,85,1,,,,,414.7479175000003,415.7472641999998,415.7472641999998,415.7472641999998,415.7472641999998,415.7472641999998,416.74757139999974,416.74757139999974,v,1,0.5544748999996045,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,21,2,86,2,,,,,417.33064140000033,418.33067750000055,418.33067750000055,418.33067750000055,418.33067750000055,418.33067750000055,419.3303742000003,419.3303742000003,c,1,0.4922827999994297,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,21,3,87,3,,,,,419.84630890000017,420.84593710000036,420.84593710000036,420.84593710000036,420.84593710000036,420.84593710000036,421.84552720000056,421.84552720000056,z,1,0.7486569999996391,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,22,0,88,0,,,,,422.61199090000036,423.61255570000003,423.61255570000003,423.61255570000003,423.61255570000003,423.61255570000003,424.6117025999997,424.6117025999997,x,1,0.9249021000000539,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
